# 0.816319
LHPLU	0	0	1	0	5	1	UCVCLVrIVICIV	ITEM/0.976530
24/EA	0	0	0	0	5	-	$	I-DES/0.973875
$	0	0	0	1	1	24/EA	12.24	I-DES/0.922722
12.24	1	1	0	0	5	$	null	PRICE/0.866432

# 0.778057
GMT192919	0	0	0	0	9	12.24	BX	ITEM/0.997516
BX	0	0	1	0	2	GMT192919	COFFEE	B-DES/0.996477
COFFEE	0	0	1	0	6	BX	HOUSE	I-DES/0.997834
HOUSE	0	0	1	0	5	COFFEE	BLEND	I-DES/0.998789
BLEND	0	0	1	0	5	HOUSE	K-CUPS	I-DES/0.998815
K-CUPS	0	0	0	0	6	BLEND	-	I-DES/0.998666
-	0	0	0	0	1	K-CUPS	24/EA	I-DES/0.998387
24/EA	0	0	0	0	5	-	$	I-DES/0.973874
$	0	0	0	1	1	24/EA	12.24	I-DES/0.922721
12.24	1	1	0	0	5	$	null	PRICE/0.866432

# 0.778334
GMT6520	0	0	0	0	7	12.25	BX	ITEM/0.997645
BX	0	0	1	0	2	GMT6520	COFFEE	B-DES/0.996655
COFFEE	0	0	1	0	6	BX	BREAKFAST	I-DES/0.997902
BREAKFAST	0	0	1	0	9	COFFEE	BLEND	I-DES/0.998818
BLEND	0	0	1	0	5	BREAKFAST	K-CUPS	I-DES/0.998826
K-CUPS	0	0	0	0	6	BLEND	-	I-DES/0.998659
-	0	0	0	0	1	K-CUPS	24/EA	I-DES/0.998387
24/EA	0	0	0	0	5	-	$	I-DES/0.973874
$	0	0	0	1	1	24/EA	12.25	I-DES/0.922721
12.25	1	1	0	0	5	$	null	PRICE/0.866432

# 0.777993
GMT6694	0	0	0	0	7	12.24	BX	ITEM/0.997516
BX	0	0	1	0	2	GMT6694	COFFEE	B-DES/0.996475
COFFEE	0	0	1	0	6	BX	FRENCH	I-DES/0.997809
FRENCH	0	0	1	0	6	COFFEE	ROAST	I-DES/0.998769
ROAST	0	0	1	0	5	FRENCH	K-CUPS	I-DES/0.998795
K-CUPS	0	0	0	0	6	ROAST	-	I-DES/0.998642
-	0	0	0	0	1	K-CUPS	24/EA	I-DES/0.998390
24/EA	0	0	0	0	5	-	$	I-DES/0.973875
$	0	0	0	1	1	24/EA	12.24	I-DES/0.922722
12.24	1	1	0	0	5	$	null	PRICE/0.866432

# 0.777991
GMT193019	0	0	0	0	9	12.24	BX	ITEM/0.997514
BX	0	0	1	0	2	GMT193019	COFFEE	B-DES/0.996464
COFFEE	0	0	1	0	6	BX	ITALIAN	I-DES/0.997814
ITALIAN	0	0	1	0	7	COFFEE	ROAST	I-DES/0.998777
ROAST	0	0	1	0	5	ITALIAN	K-CUPS	I-DES/0.998792
K-CUPS	0	0	0	0	6	ROAST	-	I-DES/0.998640
-	0	0	0	0	1	K-CUPS	24/EA	I-DES/0.998390
24/EA	0	0	0	0	5	-	$	I-DES/0.973875
$	0	0	0	1	1	24/EA	12.24	I-DES/0.922722
12.24	1	1	0	0	5	$	null	PRICE/0.866432

