# 0.760692
LHPLU	0	0	1	0	5	1	UCVCLVrIVICIV	ITEM/0.795290
24/EA	0	0	0	0	5	-	$	DES/0.969983
$	0	0	0	1	1	24/EA	12.25	DES/0.929758
12.25	1	1	0	0	5	$	null	PRICE/0.814798

# 0.383894
GMT6694	0	0	0	0	7	12.24	BX	ITEM/0.836343
BX	0	0	1	0	2	GMT6694	COFFEE	UM/0.687680
COFFEE	0	0	1	0	6	BX	FRENCH	DES/0.995024
FRENCH	0	0	1	0	6	COFFEE	ROAST	DES/0.960866
ROAST	0	0	1	0	5	FRENCH	K-CUPS	DES/0.974418
K-CUPS	0	0	0	0	6	ROAST	-	DES/0.983571
-	0	0	0	0	1	K-CUPS	24/EA	DES/0.983556
24/EA	0	0	0	0	5	-	$	DES/0.969983
$	0	0	0	1	1	24/EA	12.24	DES/0.929758
12.24	1	1	0	0	5	$	null	PRICE/0.814798

# 0.378320
GMT193019	0	0	0	0	9	12.24	BX	ITEM/0.837625
BX	0	0	1	0	2	GMT193019	COFFEE	UM/0.676735
COFFEE	0	0	1	0	6	BX	ITALIAN	DES/0.995157
ITALIAN	0	0	1	0	7	COFFEE	ROAST	DES/0.962201
ROAST	0	0	1	0	5	ITALIAN	K-CUPS	DES/0.974331
K-CUPS	0	0	0	0	6	ROAST	-	DES/0.983518
-	0	0	0	0	1	K-CUPS	24/EA	DES/0.983556
24/EA	0	0	0	0	5	-	$	DES/0.969983
$	0	0	0	1	1	24/EA	12.24	DES/0.929758
12.24	1	1	0	0	5	$	null	PRICE/0.814798

